ds,pi,gap,nr_acc,gain,nV,nS,follow,ok
gpqa_extended,30651,0.36875,0.125,0.024999999999999994,3,12,0.46875,False
gpqa_extended,30652,0.0,0.5,0.44999999999999996,0,0,0.0,False
gpqa_extended,30653,0.03125,0.0,0.85,1,0,0.03125,False
gpqa_extended,30654,0.09375,0.375,0.575,1,2,0.09375,False
gpqa_extended,30655,0.16875,0.25,0.09999999999999998,3,4,0.21875,False
gpqa_extended,30656,0.0,0.0,1.0,0,0,0.0,False
gpqa_extended,30657,0.0,0.0,0.6,0,0,0.0,False
gpqa_extended,30658,0.0,0.875,-0.17500000000000004,0,0,0.0,False
gpqa_extended,30659,0.012499999999999997,0.0,0.0,0,2,0.0625,False
gpqa_extended,30660,0.0,0.0,0.6,0,0,0.0,False
gpqa_extended,30661,0.2,0.0,0.0,4,4,0.25,False
gpqa_extended,30662,0.09375,0.25,-0.2,2,1,0.09375,False
gpqa_extended,30663,0.26875,0.0,0.05,4,19,0.71875,False
gpqa_extended,30664,0.0,0.0,0.9,0,0,0.0,False
gpqa_extended,30665,0.0625,0.75,0.25,0,2,0.0625,False
gpqa_extended,30666,0.0,0.25,0.65,0,0,0.0,False
gpqa_extended,30667,0.0,0.375,0.575,0,0,0.0,False
gpqa_extended,30668,0.0,0.5,0.4,0,0,0.0,False
gpqa_extended,30669,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30670,0.09375,0.75,0.25,0,3,0.09375,False
gpqa_extended,30671,-0.018750000000000003,1.0,-0.050000000000000044,0,1,0.03125,False
gpqa_extended,30672,0.0,0.0,0.3,0,0,0.0,False
gpqa_extended,30673,0.0,0.0,0.7,0,0,0.0,False
gpqa_extended,30674,0.0,0.0,0.0,5,27,1.0,False
gpqa_extended,30675,0.0,0.375,0.32499999999999996,0,0,0.0,False
gpqa_extended,30676,0.03125,0.0,1.0,0,1,0.03125,False
gpqa_extended,30677,0.21875,0.0,0.4,0,7,0.21875,False
gpqa_extended,30678,0.0,1.0,0.0,0,0,0.0,False
gpqa_extended,30679,0.34375,0.5,-0.4,2,9,0.34375,False
gpqa_extended,30680,-0.056249999999999994,0.5,0.15000000000000002,2,1,0.09375,False
gpqa_extended,30681,0.0,0.625,-0.275,0,0,0.0,False
gpqa_extended,30682,0.1875,0.0,0.3,4,2,0.1875,False
gpqa_extended,30683,0.1875,0.625,0.07499999999999996,4,2,0.1875,False
gpqa_extended,30684,0.2875,0.0,0.0,6,24,0.9375,False
gpqa_extended,30685,0.03125,0.0,0.85,0,1,0.03125,False
gpqa_extended,30686,0.0,0.625,0.375,0,0,0.0,False
gpqa_extended,30687,0.0,0.0,0.45,0,0,0.0,False
gpqa_extended,30688,0.0,0.0,0.0,0,32,1.0,False
gpqa_extended,30689,-0.05,0.625,0.32499999999999996,0,0,0.0,False
gpqa_extended,30690,0.28125,0.0,0.75,2,15,0.53125,False
gpqa_extended,30691,0.0,0.125,0.625,0,0,0.0,False
gpqa_extended,30692,0.0,0.5,0.44999999999999996,0,0,0.0,False
gpqa_extended,30693,-0.13124999999999998,0.0,0.05,4,19,0.71875,False
gpqa_extended,30694,0.0,0.0,0.3,0,0,0.0,False
gpqa_extended,30695,0.0,0.375,0.32499999999999996,0,0,0.0,False
gpqa_extended,30696,0.0,0.0,0.85,0,0,0.0,False
gpqa_extended,30697,0.0,0.625,0.375,0,0,0.0,False
