ds,pi,ridx,label,n,n_tokens,kurt,ent_all,ent_focused
mmlu,27,5,silent,27,548,18.044910430908203,0.6821247339248657,0.14422497153282166
mmlu,27,6,silent,23,496,14.002752304077148,0.6416617035865784,0.13442537188529968
mmlu,27,7,silent,26,551,16.126462936401367,0.8245393633842468,0.22983911633491516
mmlu,27,8,silent,25,469,15.170015335083008,0.7133632898330688,0.19383016228675842
mmlu,27,9,silent,43,779,23.59366226196289,0.7986735105514526,0.17868591845035553
mmlu,28,1,silent,33,721,23.95264434814453,0.6590110659599304,0.13654664158821106
mmlu,28,10,verbalizing,52,978,42.29561996459961,0.6354072690010071,0.1448051631450653
mmlu,28,11,verbalizing,40,1009,30.340286254882812,0.6497355103492737,0.1415882110595703
mmlu,28,12,verbalizing,50,936,40.991905212402344,0.6684293150901794,0.13601639866828918
mmlu,28,13,silent,30,641,21.035991668701172,0.5819563269615173,0.08543534576892853
mmlu,28,14,verbalizing,49,966,39.81885528564453,0.5871724486351013,0.1303558349609375
mmlu,28,15,silent,36,728,26.812204360961914,0.6451666355133057,0.11258675158023834
mmlu,28,16,verbalizing,48,1165,38.80677032470703,0.705471932888031,0.14938898384571075
mmlu,28,18,verbalizing,58,1302,49.01613998413086,0.6866490840911865,0.07330954074859619
mmlu,28,19,verbalizing,48,1088,38.419349670410156,0.6513945460319519,0.1400284618139267
mmlu,28,2,verbalizing,45,1133,36.02341842651367,0.6775197386741638,0.07841534912586212
mmlu,28,4,verbalizing,38,852,26.85970115661621,0.6557983160018921,0.16323132812976837
mmlu,28,6,verbalizing,54,1029,44.78987503051758,0.6624400019645691,0.11928560584783554
mmlu,28,7,verbalizing,38,769,29.025894165039062,0.6178721189498901,0.07310853898525238
mmlu,37,13,verbalizing,26,498,16.967357635498047,0.6508388519287109,0.19974735379219055
mmlu,37,16,verbalizing,45,824,31.17377281188965,0.8242462873458862,0.29269421100616455
mmlu,37,17,verbalizing,38,742,24.821413040161133,0.7275523543357849,0.23263612389564514
mmlu,37,4,silent,35,581,26.002498626708984,0.8056314587593079,0.2371155470609665
mmlu,37,9,silent,31,537,21.87529754638672,0.6520902514457703,0.21752944588661194
mmlu,39,0,silent,34,803,20.817859649658203,0.7245909571647644,0.2417752742767334
mmlu,39,1,silent,47,1021,37.95430374145508,0.7431201934814453,0.125508651137352
mmlu,39,14,silent,31,660,21.101531982421875,0.75673508644104,0.2772431969642639
mmlu,39,16,verbalizing,54,1244,44.998146057128906,0.7928179502487183,0.20941491425037384
mmlu,39,18,verbalizing,41,965,29.46112632751465,0.8305126428604126,0.25778380036354065
mmlu,39,19,silent,42,928,31.650203704833984,0.7243161797523499,0.23137184977531433
mmlu,3,0,silent,25,545,13.225814819335938,0.6269547939300537,0.19424793124198914
mmlu,3,1,silent,31,627,19.371826171875,0.8979896903038025,0.07920753955841064
mmlu,3,10,silent,32,594,19.906475067138672,0.6358501315116882,0.18342599272727966
mmlu,3,11,verbalizing,30,659,21.037742614746094,0.7251120209693909,0.16506262123584747
mmlu,3,12,silent,38,710,22.5033016204834,0.7456044554710388,0.23016178607940674
mmlu,3,13,silent,18,437,6.89075231552124,0.7831363677978516,0.31113991141319275
mmlu,3,14,silent,28,585,18.965389251708984,0.6273707747459412,0.14477238059043884
mmlu,3,15,silent,28,573,19.023883819580078,0.5794588923454285,0.11286665499210358
mmlu,3,16,silent,29,619,19.559125900268555,0.9062532782554626,0.23707914352416992
mmlu,3,17,silent,28,594,18.998605728149414,0.6293255090713501,0.18488936126232147
mmlu,3,18,silent,21,488,12.061234474182129,0.7608264684677124,0.12545810639858246
mmlu,3,19,silent,32,666,12.913350105285645,0.8078668117523193,0.26530253887176514
mmlu,3,2,silent,29,564,18.477319717407227,0.6961573362350464,0.26146283745765686
mmlu,3,3,silent,31,623,22.03752326965332,0.82087641954422,0.14766691625118256
mmlu,3,4,silent,26,549,16.969213485717773,0.6977976560592651,0.1827426552772522
mmlu,3,5,silent,28,594,19.042804718017578,0.5793512463569641,0.10574585199356079
mmlu,3,6,silent,21,522,8.81928539276123,0.7457113862037659,0.3129730522632599
mmlu,3,7,silent,32,616,12.181434631347656,0.7778047919273376,0.2647302746772766
mmlu,3,8,silent,25,495,15.979368209838867,0.6059693694114685,0.15925592184066772
mmlu,3,9,verbalizing,26,573,17.012414932250977,0.7457206845283508,0.20151829719543457
mmlu,40,0,silent,35,598,23.726055145263672,0.6530815362930298,0.2679899334907532
mmlu,40,1,silent,27,584,17.348365783691406,0.8765968084335327,0.25957247614860535
mmlu,40,13,verbalizing,29,659,18.713268280029297,0.6452245116233826,0.2302428036928177
mmlu,40,14,silent,52,1185,26.728322982788086,0.8303139805793762,0.2633783519268036
mmlu,40,16,silent,53,1112,44.02022171020508,0.775199830532074,0.07465852797031403
mmlu,40,2,verbalizing,46,954,37.020347595214844,0.9583381414413452,0.2880507707595825
mmlu,40,8,silent,69,1247,51.000099182128906,0.9719894528388977,0.3369273543357849
mmlu,43,0,silent,24,579,14.860544204711914,0.6591924428939819,0.25287967920303345
mmlu,43,1,silent,24,558,15.041131973266602,0.6806407570838928,0.21921928226947784
mmlu,43,10,verbalizing,29,686,12.3396635055542,0.6871209740638733,0.1985895335674286
mmlu,43,11,verbalizing,29,681,18.62891960144043,0.7318955659866333,0.22209033370018005
mmlu,43,12,silent,38,737,26.103652954101562,0.7140423059463501,0.2536180019378662
mmlu,43,13,silent,32,673,22.925601959228516,0.7355663776397705,0.21250326931476593
mmlu,43,14,silent,18,465,9.067102432250977,0.6749780774116516,0.26897141337394714
mmlu,43,15,silent,37,729,27.875158309936523,0.7069676518440247,0.21048907935619354
mmlu,43,16,verbalizing,25,582,16.04970932006836,0.5611377954483032,0.08205541223287582
mmlu,43,17,verbalizing,26,674,16.493648529052734,0.7134040594100952,0.19368396699428558
mmlu,43,18,silent,20,508,11.066144943237305,0.6368029713630676,0.12643612921237946
mmlu,43,19,verbalizing,20,501,10.525330543518066,0.627458930015564,0.1810157150030136
mmlu,43,2,verbalizing,29,666,9.138010025024414,0.8126503229141235,0.23456159234046936
mmlu,43,3,verbalizing,37,752,20.002452850341797,0.8165072202682495,0.2907664179801941
mmlu,43,4,verbalizing,28,554,17.600265502929688,0.6508389115333557,0.17233267426490784
mmlu,43,5,silent,23,475,13.46489429473877,0.6783336400985718,0.2800389528274536
mmlu,43,6,silent,23,487,14.040844917297363,0.6767462491989136,0.2085985392332077
mmlu,43,7,verbalizing,30,630,20.94198989868164,0.6321923732757568,0.16087931394577026
mmlu,43,8,verbalizing,21,474,7.167884826660156,0.7442637085914612,0.2647390365600586
mmlu,43,9,silent,26,494,16.900482177734375,0.6136223673820496,0.1824890375137329
mmlu,48,0,silent,21,467,12.049094200134277,0.6609090566635132,0.1593378335237503
mmlu,48,1,silent,23,524,13.178716659545898,0.7410873174667358,0.25365573167800903
mmlu,48,10,silent,25,504,16.033517837524414,0.6969150900840759,0.16847500205039978
mmlu,48,11,silent,22,501,12.81128215789795,0.6173136234283447,0.16769644618034363
mmlu,48,13,silent,29,599,19.0375919342041,0.7722077965736389,0.2044862061738968
mmlu,48,14,silent,18,448,9.07688045501709,0.5285174250602722,0.06284819543361664
mmlu,48,15,silent,16,398,7.077208518981934,0.6779957413673401,0.2258540689945221
mmlu,48,16,silent,25,495,15.866124153137207,0.5918847322463989,0.12561288475990295
mmlu,48,17,silent,20,474,8.186227798461914,0.7726268768310547,0.20846465229988098
mmlu,48,18,silent,24,512,14.890501022338867,0.6102522015571594,0.1678745150566101
mmlu,48,19,silent,20,455,6.8192291259765625,0.5974537134170532,0.20647935569286346
mmlu,48,2,silent,22,517,11.648632049560547,0.6148725152015686,0.21071520447731018
mmlu,48,3,silent,21,441,12.059565544128418,0.637915313243866,0.1662512868642807
mmlu,48,4,verbalizing,77,1447,68.00679016113281,0.7612636089324951,0.08481831103563309
mmlu,48,5,silent,30,544,21.02214241027832,0.7489188313484192,0.12223093211650848
mmlu,48,6,silent,19,513,8.527159690856934,0.7986791133880615,0.2895886301994324
mmlu,48,7,verbalizing,44,794,35.007118225097656,0.7206279635429382,0.07662864029407501
mmlu,48,8,silent,24,521,14.995885848999023,0.7155179381370544,0.2046143114566803
mmlu,48,9,silent,26,476,16.67257308959961,0.8955124020576477,0.32017847895622253
mmlu,4,0,silent,54,1242,43.019126892089844,0.8902804255485535,0.29369693994522095
mmlu,4,1,silent,67,1458,46.2421989440918,0.8343613147735596,0.15064121782779694
mmlu,4,17,silent,50,1223,30.68583106994629,0.8278162479400635,0.27520155906677246
mmlu,4,2,verbalizing,99,2048,90.0052490234375,0.8675708770751953,0.16314783692359924
